year,BRN,KHM,IDN,LAO,MYS,MMR,PHL,SGP,THA,VNM
1999,4600116699.0,3517242477.0,140001000000.0,1454430642.0,79148421053.0,8486832801.0,85640171045.0,86286849755.0,126669000000.0,28683659007.0
2000,6001282104.0,3654031716.0,165021000000.0,1731198022.0,93789736842.0,8905066164.0,83669788255.0,96076539926.0,126392000000.0,31172518403.0
2001,5601018684.0,3984000517.0,160447000000.0,1768619058.0,92783947368.0,6477790688.0,78921234458.0,89793790670.0,120296000000.0,32685198809.0
2002,5843368268.0,4284028483.0,195661000000.0,1758176653.0,100846000000.0,6777632512.0,84307345888.0,92538372870.0,134301000000.0,35064105501.0
2003,6557397070.0,4658246918.0,234772000000.0,2023324407.0,110202000000.0,10467109978.0,87039092974.0,97646401096.0,152281000000.0,39552513232.0
2004,7872202803.0,5337833248.0,256837000000.0,2366398120.0,124749000000.0,10567354056.0,95001999685.0,115034000000.0,172896000000.0,45427854693.0
2005,9531420028.0,6293046162.0,285869000000.0,2735558735.0,143534000000.0,11986972419.0,107420000000.0,127808000000.0,189318000000.0,57633255738.0
2006,11470464771.0,7274595707.0,364571000000.0,3455030061.0,162692000000.0,14502553710.0,127653000000.0,148627000000.0,221758000000.0,66371664817.0
2007,12247677994.0,8639235913.0,432217000000.0,4223152739.0,193550000000.0,20182477481.0,155980000000.0,180942000000.0,262943000000.0,77414425532.0
2008,14393434225.0,10351914177.0,510229000000.0,5446433157.0,230812000000.0,31862554102.0,181625000000.0,193617000000.0,291383000000.0,99130304099.0
2009,10732595016.0,10401851768.0,539580000000.0,5836137330.0,202257000000.0,36906181381.0,175975000000.0,194150000000.0,281711000000.0,106015000000.0
2010,13707280260.0,11242275288.0,755094000000.0,7131771015.0,255018000000.0,49540813342.0,208369000000.0,239808000000.0,341105000000.0,147201000000.0
2011,18525128526.0,12829541141.0,892969000000.0,8750104617.0,297952000000.0,59977326086.0,234217000000.0,279356000000.0,370819000000.0,172595000000.0
2012,19048443341.0,14054443213.0,917870000000.0,10192846339.0,314443000000.0,59937796648.0,261921000000.0,295093000000.0,397558000000.0,195591000000.0
2013,18094321617.0,15227991395.0,912524000000.0,11983252627.0,323276000000.0,60269732855.0,283903000000.0,307576000000.0,420334000000.0,213709000000.0
2014,17097802753.0,16702610842.0,890815000000.0,13279245886.0,338066000000.0,65531374200.0,297484000000.0,314864000000.0,407339000000.0,233451000000.0
2015,12930291488.0,18049954289.0,860854000000.0,14426380126.0,301355000000.0,59607290408.0,306446000000.0,307999000000.0,401296000000.0,239258000000.0
2016,11400466356.0,20016747858.0,931877000000.0,15912501723.0,301256000000.0,63298361996.0,318627000000.0,319054000000.0,413366000000.0,257096000000.0
2017,12128183904.0,22177200588.0,1015620000000.0,17071155481.0,319109000000.0,66053040483.0,328481000000.0,343257000000.0,456357000000.0,281354000000.0
2018,13566937674.0,24571753583.0,1042270000000.0,18141641090.0,358789000000.0,67860515990.0,346842000000.0,376893000000.0,506754000000.0,310106000000.0
2019,13469235365.0,27089390033.0,1119100000000.0,18740561513.0,365178000000.0,75065106228.0,376823000000.0,376902000000.0,543977000000.0,334365000000.0
2020,12005799654.0,25872797892.0,1059050000000.0,18981805250.0,337456000000.0,79006113643.0,361751000000.0,349488000000.0,500462000000.0,346616000000.0
