project,street,commence,sale,price,area,level
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,1672280,1281,16 to 20
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,1622810,1453,01 to 05
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,915680,667,06 to 10
SELETAR PARK RESIDENCE,SELETAR ROAD,2011,Resale,1300000,1442,01 to 05
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,1234810,980,06 to 10
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,952540,786,21 to 25
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,1308300,980,06 to 10
SELETAR SPRINGS CONDOMINIUM,GERALD DRIVE,1997,Resale,775000,980,01 to 05
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,877000,667,06 to 10
SELETAR PARK RESIDENCE,SELETAR ROAD,2011,Resale,1100000,1076,01 to 05
SELETAR PARK RESIDENCE,SELETAR ROAD,2011,Resale,1620000,1292,01 to 05
SELETAR PARK RESIDENCE,SELETAR ROAD,2011,Resale,1090000,872,01 to 05
H2O RESIDENCES,FERNVALE LINK,2010,Resale,1240000,1130,16 to 20
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,918590,667,11 to 15
SUNRISE GARDENS,SUNRISE AVENUE,1995,Resale,1550000,2034,01 to 05
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,700000,506,16 to 20
RIVERBANK @ FERNVALE,FERNVALE CLOSE,2013,Resale,780000,689,06 to 10
THE GREENWICH,SELETAR ROAD,2009,Resale,1500000,1227,01 to 05
SELETAR PARK RESIDENCE,SELETAR ROAD,2011,Resale,1718000,2239,01 to 05
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,1275000,969,06 to 10
SELETAR SPRINGS CONDOMINIUM,GERALD DRIVE,1997,Resale,1350000,1981,01 to 05
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,1277490,980,06 to 10
THE GREENWICH,SELETAR ROAD,2009,Resale,1260000,1076,01 to 05
THE GREENWICH,SELETAR ROAD,2009,Resale,1380000,1076,01 to 05
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,1620870,1281,11 to 15
SUNRISE GARDENS,SUNRISE AVENUE,1995,Resale,1168000,1453,01 to 05
H2O RESIDENCES,FERNVALE LINK,2010,Resale,1200000,1076,16 to 20
THE GREENWICH,SELETAR ROAD,2009,Resale,910000,904,01 to 05
RIVERBANK @ FERNVALE,FERNVALE CLOSE,2013,Resale,1739000,1389,11 to 15
RIVERBANK @ FERNVALE,FERNVALE CLOSE,2013,Resale,990000,947,06 to 10
SUNRISE GARDENS,SUNRISE AVENUE,1995,Resale,1080000,1281,01 to 05
RIVERBANK @ FERNVALE,FERNVALE CLOSE,2013,Resale,570000,495,01 to 05
RIVERBANK @ FERNVALE,FERNVALE CLOSE,2013,Resale,590000,495,06 to 10
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,1497600,1152,16 to 20
RIVERBANK @ FERNVALE,FERNVALE CLOSE,2013,Resale,590000,495,01 to 05
SELETAR PARK RESIDENCE,SELETAR ROAD,2011,Resale,1150000,1076,01 to 05
H2O RESIDENCES,FERNVALE LINK,2010,Resale,1680000,1389,11 to 15
RIVERBANK @ FERNVALE,FERNVALE CLOSE,2013,Resale,600000,495,06 to 10
H2O RESIDENCES,FERNVALE LINK,2010,Resale,1130000,1076,11 to 15
THE GREENWICH,SELETAR ROAD,2009,Resale,900000,883,01 to 05
THE GREENWICH,SELETAR ROAD,2009,Resale,1300000,1076,01 to 05
H2O RESIDENCES,FERNVALE LINK,2010,Resale,620000,527,06 to 10
SELETAR SPRINGS CONDOMINIUM,GERALD DRIVE,1997,Resale,800000,980,01 to 05
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,1728540,1507,21 to 25
RIVERBANK @ FERNVALE,FERNVALE CLOSE,2013,Resale,800000,710,01 to 05
THE GREENWICH,SELETAR ROAD,2009,Resale,918000,883,01 to 05
SUNRISE GARDENS,SUNRISE AVENUE,1995,Resale,870000,1163,01 to 05
THE GREENWICH,SELETAR ROAD,2009,Resale,927000,883,01 to 05
H2O RESIDENCES,FERNVALE LINK,2010,Resale,908000,883,06 to 10
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,1888000,1453,11 to 15
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,1659000,1453,01 to 05
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,985520,775,01 to 05
SELETAR PARK RESIDENCE,SELETAR ROAD,2011,Resale,1080000,1012,01 to 05
H2O RESIDENCES,FERNVALE LINK,2010,Resale,908000,883,06 to 10
RIVERBANK @ FERNVALE,FERNVALE CLOSE,2013,Resale,603000,495,01 to 05
