country_code,country_name,expectancy,gdp,total_health,private_health,military,hospital_beds,dpt_coverage,internet
ALB,Albania,79.602,9740.7023414631,7.05240345,42.58695166495215,1.7407334644623,28.9,97.0,83.13559161
ARG,Argentina,77.395,14261.84656679479,10.2695179,38.72253566790138,0.75569413987974,49.9,66.0,89.22897166
ARM,Armenia,77.4658536585366,8159.0872096799585,9.32119179,84.6116664852823,5.50629814850566,42.0,94.0,79.99663036
AUS,Australia,83.05121951219513,65058.37731466737,10.39852047,27.177312010401412,1.86157133456052,38.4,94.0,96.1160965
AUT,Austria,81.79268292682929,56579.50417546799,11.15297318,23.34070083446941,0.870829952423219,72.7,87.0,95.33467117
AZE,Azerbaijan,74.429,7133.028380483284,4.27113533,65.86742954671277,4.92241403839666,48.2,51.0,89.0
BEL,Belgium,82.40000000000002,55244.68145810999,10.80371571,26.1671742887438,1.18422875211757,55.8,98.0,94.62625074
BEN,Benin,60.774,1394.1778472183137,3.33732462,46.90855963141551,0.757551382919002,5.0,69.0,32.39400101
BGD,Bangladesh,74.672,2551.017738273069,2.17014575,79.20744433046893,0.919471499049507,7.9,97.0,44.50274195
BGR,Bulgaria,75.75609756097562,15854.019289377176,7.91853094,36.74399720701733,1.94458310651254,74.5,92.0,80.38956462
BHR,Bahrain,81.284,29290.12842150983,3.99562383,40.926058077139125,3.5208357381969297,17.4,99.0,100.0
BIH,Bosnia and Herzegovina,77.85,8663.023264586292,8.9216938,31.427476026008254,0.717630060649091,34.9,73.0,83.3771539
BOL,"Bolivia, Plurinational State of",68.581,4274.70820547613,6.91864729,27.15629766637489,1.30430837360161,12.9,67.0,77.30039978
BRA,Brazil,75.848,10377.589279255684,9.73092747,55.85463638254588,1.00237538990131,20.9,90.0,84.15060238
CAN,Canada,81.62634146341465,54847.537011265194,11.18692875,29.936331361238384,1.25316567875902,25.2,92.0,94.14530182
CHE,Switzerland,84.15609756097562,104449.75451771976,11.69096088,64.57466952042923,0.705659021596424,46.3,95.0,97.34436623
CHL,Chile,81.167,17081.518074004885,10.17470455,48.35299309105645,1.6302638867090598,20.6,96.0,94.45742345
CHN,China,77.953,12951.178239704272,5.94388866,42.5392152590093,1.66484889659813,43.1,96.0,90.6
CIV,Côte d'Ivoire,61.944,2591.965904811898,3.43218303,46.65958611199767,0.864878467778842,2.8,79.0,40.65284979
CMR,Cameroon,63.7,1720.4751015450624,4.5545516,71.26739065721623,0.926490469517272,13.0,75.0,42.24380112
COL,Colombia,77.725,7012.491691377558,8.15838146,29.60634266366815,2.9654521797135898,17.1,90.0,77.33686322
CYP,Cyprus,81.648,36623.70703125,8.11912918,22.262164570176353,1.6506068333336,34.0,95.0,91.22110357
CZE,Czechia,79.8268292682927,31761.594410249065,8.42677402,15.628112689453566,1.47176821017418,66.2,90.0,85.99404818
