project,street,type,district,segment,tenure,commence,sale,area,price,level,date
11 AMBER ROAD,AMBER ROAD,Apartment,15,RCR,freehold,,Resale,2841.7,4879198.899999999,21 to 25,Dec-24
THE HILL @ONE-NORTH,SLIM BARRACKS RISE,Apartment,5,RCR,99 years,2022.0,New Sale,1033.34,2594716.74,06 to 10,Dec-24
TERRA HILL,YEW SIANG ROAD,Apartment,5,RCR,freehold,,New Sale,904.18,2538033.26,01 to 05,Dec-24
PARQ BELLA,TEMBELING ROAD,Apartment,15,RCR,freehold,,New Sale,1076.4,2600582.4000000004,01 to 05,Dec-24
WATTEN HOUSE,SHELFORD ROAD,Condominium,11,CCR,freehold,,New Sale,1851.41,6178155.17,01 to 05,Dec-24
PINETREE HILL,PINE GROVE,Condominium,21,RCR,99 years,2022.0,New Sale,968.76,2488744.44,11 to 15,Dec-24
THE MYST,UPPER BUKIT TIMAH ROAD,Condominium,23,OCR,99 years,2023.0,New Sale,1517.72,2889738.88,01 to 05,Dec-24
THE MYST,UPPER BUKIT TIMAH ROAD,Condominium,23,OCR,99 years,2023.0,New Sale,1162.51,2343620.16,11 to 15,Dec-24
THE GARDEN RESIDENCES,SERANGOON NORTH VIEW,Apartment,19,OCR,99 years,2017.0,Resale,1033.34,1688477.5599999998,11 to 15,Dec-24
HIGH PARK RESIDENCES,FERNVALE ROAD,Apartment,28,OCR,99 years,2014.0,Resale,452.09,774882.26,06 to 10,Dec-24
HILLTOPS,CAIRNHILL CIRCLE,Condominium,9,CCR,freehold,,Resale,1593.07,5319260.7299999995,06 to 10,Dec-24
THE WOODLEIGH RESIDENCES,BIDADARI PARK DRIVE,Apartment,13,RCR,99 years,2017.0,Sub Sale,570.49,1295012.3,11 to 15,Dec-24
RIDGEWOOD,RIDGEWOOD CLOSE,Condominium,10,CCR,freehold,1885.0,Resale,1743.77,3229462.04,06 to 10,Dec-24
