project,street,type,district,segment,tenure,commence,sale,price,area,level,date
GRAND DUNMAN,DUNMAN ROAD,Apartment,15,RCR,99 years,2022.0,New Sale,1698000,667.37,01 to 05,Dec-23
THE CONTINUUM,THIAM SIEW AVENUE,Apartment,15,RCR,freehold,,New Sale,2661000,947.23,11 to 15,Dec-23
LENTOR HILLS RESIDENCES,LENTOR HILLS ROAD,Apartment,26,OCR,99 years,2022.0,New Sale,2730000,1345.5,11 to 15,Dec-23
THE CONTINUUM,THIAM SIEW AVENUE,Apartment,15,RCR,freehold,,New Sale,1955000,721.19,01 to 05,Dec-23
THE BOTANY AT DAIRY FARM,DAIRY FARM WALK,Condominium,23,OCR,99 years,2022.0,New Sale,2191000,1033.34,11 to 15,Dec-23
THE LANDMARK,CHIN SWEE ROAD,Condominium,3,RCR,99 years,2020.0,New Sale,2778888,1140.98,16 to 20,Dec-23
THE LANDMARK,CHIN SWEE ROAD,Condominium,3,RCR,99 years,2020.0,New Sale,2868480,1076.4,26 to 30,Dec-23
THE LANDMARK,CHIN SWEE ROAD,Condominium,3,RCR,99 years,2020.0,New Sale,3314880,1140.98,36 to 40,Dec-23
HILLOCK GREEN,LENTOR CENTRAL,Apartment,26,OCR,99 years,2022.0,New Sale,1192000,516.67,11 to 15,Dec-23
THE CONTINUUM,THIAM SIEW AVENUE,Apartment,15,RCR,freehold,,New Sale,2001000,721.19,01 to 05,Dec-23
TEMBUSU GRAND,JALAN TEMBUSU,Condominium,15,RCR,99 years,2022.0,New Sale,2302000,990.29,01 to 05,Dec-23
ONE BERNAM,BERNAM STREET,Apartment,2,CCR,99 years,2019.0,New Sale,2280000,807.3,21 to 25,Dec-23
CASAFINA,BEDOK SOUTH AVENUE 1,Condominium,16,OCR,99 years,1996.0,Resale,1150000,990.29,01 to 05,Dec-23
HILLOCK GREEN,LENTOR CENTRAL,Apartment,26,OCR,99 years,2022.0,New Sale,1599000,710.42,06 to 10,Dec-23
BOTANIQUE AT BARTLEY,UPPER PAYA LEBAR ROAD,Condominium,19,OCR,99 years,2014.0,Resale,2140000,1130.22,06 to 10,Dec-23
