wage,hours,IQ,KWW,educ,exper,tenure,age,married,black,urban,meduc,feduc
769,40,93,35,12,11,2,31,True,False,True,8.0,8.0
808,50,119,41,18,11,16,37,True,False,True,14.0,14.0
825,40,108,46,14,11,9,33,True,False,True,14.0,14.0
650,40,96,32,12,13,7,32,True,False,True,12.0,12.0
562,40,74,27,11,14,5,34,True,False,True,6.0,11.0
1400,40,116,43,16,14,2,35,True,True,True,8.0,
600,40,91,24,10,13,0,30,False,False,True,8.0,8.0
1081,40,114,50,18,8,14,38,True,False,True,8.0,
1154,45,111,37,15,13,1,36,True,False,False,14.0,5.0
1000,40,95,44,12,16,16,36,True,False,True,12.0,11.0
930,43,132,44,18,8,13,38,True,False,False,13.0,14.0
921,38,102,45,14,9,11,33,True,False,False,16.0,
900,45,125,40,15,4,3,30,False,False,False,12.0,12.0
1318,38,119,24,16,7,2,28,True,False,True,10.0,10.0
1792,40,118,47,16,9,9,34,True,False,True,12.0,12.0
958,50,105,37,10,17,2,35,True,False,True,6.0,8.0
1360,45,109,39,15,6,9,36,True,False,True,12.0,10.0
850,40,72,36,11,19,10,38,True,False,True,10.0,8.0
830,44,105,29,14,4,7,29,True,False,True,12.0,
471,44,101,34,12,13,7,31,True,False,True,8.0,
1275,40,123,37,14,9,1,31,True,False,True,12.0,
1615,50,113,49,16,10,4,36,True,False,True,12.0,12.0
873,65,95,36,12,14,3,38,True,False,True,10.0,10.0
2137,45,145,50,16,17,8,38,True,False,True,12.0,12.0
1053,38,114,35,16,12,7,32,True,False,True,11.0,11.0
1602,60,124,32,16,8,9,29,True,False,True,16.0,16.0
1188,40,93,40,13,16,5,35,True,False,True,12.0,8.0
800,40,115,39,18,11,1,35,True,False,True,8.0,8.0
1417,48,125,41,17,9,4,34,True,False,True,13.0,12.0
635,40,128,35,18,8,13,36,False,False,True,16.0,16.0
1000,40,103,40,12,17,2,34,True,False,True,8.0,
1424,50,98,41,14,15,4,35,True,False,True,12.0,12.0
2668,75,108,41,13,12,2,32,True,False,True,12.0,12.0
666,75,129,40,18,8,12,38,True,False,False,18.0,18.0
1779,40,132,42,17,8,9,32,True,False,True,17.0,14.0
782,40,92,24,13,9,10,31,True,False,True,8.0,
1572,35,108,39,14,7,5,28,True,True,True,12.0,8.0
1274,40,106,35,13,11,12,31,True,False,True,15.0,12.0
714,35,105,37,16,9,2,29,True,False,True,13.0,12.0
1081,40,123,46,18,11,7,36,True,False,False,12.0,12.0
692,40,108,48,12,21,11,38,True,False,True,8.0,7.0
1318,38,122,47,17,10,9,33,True,False,True,12.0,8.0
1239,45,109,44,12,16,4,38,True,False,True,12.0,
1027,27,100,40,13,12,15,38,True,False,True,10.0,9.0
1748,55,125,50,18,12,12,34,True,False,True,14.0,15.0
981,40,122,41,14,9,15,35,False,False,True,12.0,
770,40,105,34,17,7,11,30,True,False,True,12.0,12.0
1154,50,94,37,16,11,5,33,True,False,True,12.0,12.0
1155,40,102,36,12,16,5,34,True,False,True,12.0,
808,60,109,47,13,14,12,38,True,False,True,12.0,10.0
1100,40,105,45,12,22,14,38,True,False,True,12.0,12.0
1154,40,134,46,18,10,10,37,True,False,True,12.0,12.0
1749,40,108,32,12,13,9,29,False,False,True,12.0,9.0
1000,50,104,36,16,11,8,30,True,False,True,12.0,11.0
462,40,112,35,12,11,1,29,True,False,True,12.0,
769,55,120,49,18,8,12,32,False,False,True,11.0,8.0
875,50,124,40,16,9,3,31,False,False,False,17.0,16.0
1375,40,103,34,12,12,7,29,True,False,True,12.0,10.0
1452,45,115,45,17,1,7,30,True,False,True,12.0,14.0
800,40,96,33,12,17,12,35,True,False,True,6.0,8.0
1748,55,123,48,17,10,7,36,True,False,True,12.0,12.0
1151,40,98,34,12,12,12,29,True,False,True,12.0,8.0
840,50,96,34,12,18,13,35,True,False,True,12.0,8.0
978,45,89,47,12,17,2,38,True,False,True,12.0,
963,40,109,43,12,15,15,37,False,False,False,,7.0
619,42,93,20,12,10,10,28,False,False,True,9.0,11.0
442,60,82,32,12,12,0,33,True,False,True,12.0,9.0
600,40,120,45,15,12,1,38,True,False,False,12.0,
1366,38,122,38,12,15,15,32,True,False,True,12.0,
1643,48,117,48,18,8,2,33,True,False,True,12.0,18.0
1455,40,109,44,16,8,13,36,True,False,True,8.0,8.0
2310,40,114,55,18,12,7,38,True,False,True,12.0,16.0
1682,45,126,40,16,10,11,31,True,False,True,12.0,16.0
1235,40,82,45,12,10,2,33,True,False,True,11.0,11.0
855,45,119,45,16,11,4,32,True,False,True,12.0,9.0
1072,42,104,37,16,6,8,35,True,False,True,12.0,6.0
1040,40,115,49,15,8,15,35,True,False,True,,11.0
1000,50,97,45,12,17,15,36,True,False,True,12.0,12.0
675,40,105,27,15,8,2,31,True,False,False,14.0,12.0
1100,37,100,32,12,14,1,30,True,False,True,7.0,7.0
996,50,114,41,12,5,14,31,True,False,True,12.0,10.0
732,40,73,28,10,17,5,36,True,False,True,,
1200,40,96,48,11,15,3,37,True,False,True,8.0,8.0
1694,30,113,30,15,9,8,29,False,False,True,12.0,16.0
686,55,106,38,10,15,3,36,True,False,True,14.0,10.0
754,40,104,37,13,9,5,32,True,False,True,8.0,
857,35,80,39,10,14,15,33,True,False,True,,12.0
832,50,104,30,13,4,2,30,True,False,True,12.0,8.0
579,44,122,36,13,8,1,30,True,False,False,16.0,16.0
672,61,96,38,12,13,3,34,True,False,True,12.0,13.0
2500,40,95,51,15,12,9,36,True,False,True,16.0,16.0
1076,45,105,24,12,5,8,31,False,False,True,16.0,17.0
750,40,94,18,12,16,3,37,True,True,True,8.0,8.0
1186,30,91,41,17,8,9,33,True,False,True,12.0,14.0
833,48,96,37,16,9,7,31,True,False,True,12.0,14.0
650,40,69,37,12,14,11,30,True,True,True,10.0,9.0
1250,46,110,37,12,5,16,38,True,False,False,,12.0
1122,48,111,44,15,12,9,31,True,False,True,9.0,12.0
865,40,110,35,16,1,11,31,True,False,True,9.0,12.0
808,40,97,37,16,10,7,29,True,False,True,9.0,12.0
1299,60,125,44,18,6,12,35,False,False,True,8.0,8.0
903,40,91,39,12,6,12,36,True,False,True,9.0,10.0
900,40,86,28,12,17,15,37,True,False,True,8.0,10.0
625,40,110,32,12,18,0,35,True,False,True,9.0,8.0
1586,40,92,47,14,16,1,36,True,False,True,12.0,
962,40,85,41,10,15,16,38,True,False,True,9.0,12.0
1539,45,120,36,17,7,8,34,True,False,True,8.0,8.0
1110,52,106,42,12,11,6,33,True,False,False,12.0,12.0
1282,45,112,41,16,6,6,31,False,False,True,12.0,12.0
770,48,91,39,12,13,2,38,True,False,True,10.0,8.0
1000,45,90,42,12,16,0,38,True,False,True,10.0,12.0
895,40,86,39,9,17,16,38,True,True,False,,12.0
1205,40,86,32,10,13,0,32,True,True,True,8.0,
750,40,113,27,12,11,10,29,True,False,False,12.0,12.0
654,50,111,51,13,5,16,38,True,False,True,12.0,9.0
601,48,111,30,12,15,3,33,True,False,True,12.0,12.0
600,40,106,32,13,10,11,28,True,False,True,8.0,7.0
433,40,98,28,12,11,10,30,False,False,True,12.0,11.0
1188,40,105,28,12,11,7,30,True,False,True,12.0,10.0
635,40,105,29,12,15,15,33,True,False,False,10.0,
1225,40,118,44,13,9,14,32,True,False,True,12.0,9.0
1151,45,90,38,12,19,19,36,True,False,True,12.0,8.0
865,40,95,34,12,15,11,32,False,False,True,9.0,8.0
1031,40,112,24,14,9,5,29,True,False,True,12.0,12.0
1049,55,120,39,12,9,11,32,True,False,True,12.0,10.0
1000,45,123,41,12,12,1,29,True,False,True,12.0,10.0
1105,40,103,32,13,10,11,30,True,False,True,16.0,15.0
1924,50,121,40,18,11,7,35,True,False,True,16.0,18.0
1346,40,90,44,16,9,16,38,True,False,True,12.0,12.0
809,65,125,32,12,11,10,29,True,False,True,12.0,12.0
1495,45,109,34,18,10,3,32,True,False,True,9.0,8.0
1346,50,128,46,16,10,1,33,False,False,False,10.0,9.0
1200,40,97,35,12,10,4,31,True,False,True,12.0,12.0
500,40,96,35,12,6,0,33,True,False,True,12.0,12.0
1325,45,97,44,12,12,5,28,True,False,True,12.0,8.0
900,40,78,21,12,16,5,33,True,True,True,7.0,6.0
800,40,112,39,12,15,3,34,True,False,True,7.0,
800,40,88,32,12,16,7,38,True,False,True,2.0,5.0
1034,40,97,39,12,15,16,36,True,False,True,14.0,11.0
980,40,101,41,12,4,12,36,True,False,True,6.0,9.0
884,40,106,42,10,19,12,34,True,False,True,7.0,10.0
480,40,59,28,10,11,5,34,False,False,True,8.0,6.0
923,40,105,54,18,7,14,34,True,False,True,12.0,12.0
513,45,119,30,17,8,5,31,False,False,True,12.0,8.0
1105,40,93,36,11,17,16,37,False,False,True,8.0,8.0
1193,50,82,38,12,19,10,36,True,False,True,12.0,
2771,50,134,45,18,6,7,34,True,False,True,16.0,16.0
779,40,84,29,12,9,6,30,True,False,True,8.0,12.0
950,60,98,36,11,13,6,31,True,False,True,12.0,12.0
1394,40,118,41,16,11,8,30,True,False,False,13.0,12.0
1495,45,113,50,17,13,9,33,True,False,True,12.0,8.0
650,40,100,18,12,4,3,28,True,False,True,9.0,11.0
670,40,93,27,13,9,5,29,True,False,True,12.0,12.0
1126,40,119,30,16,5,8,32,True,False,True,12.0,10.0
450,64,67,19,12,11,1,33,False,True,True,11.0,4.0
1028,40,111,28,12,19,12,37,True,True,True,12.0,
2404,50,106,38,15,8,0,32,True,False,True,12.0,12.0
1899,40,127,49,18,9,14,36,False,False,True,10.0,
757,40,113,35,16,10,9,33,True,False,True,12.0,12.0
1250,40,115,36,14,9,1,29,True,False,True,12.0,12.0
1162,48,102,40,16,8,11,31,True,False,True,12.0,
1025,40,85,29,15,9,13,29,True,True,True,14.0,12.0
1100,50,117,51,16,11,12,32,True,False,False,12.0,10.0
714,35,125,34,16,7,5,28,True,False,True,10.0,10.0
1318,35,118,47,16,16,17,37,True,False,False,8.0,12.0
1411,45,121,40,18,14,3,38,True,False,True,12.0,16.0
2162,40,115,51,17,4,4,38,True,False,True,12.0,12.0
1273,55,120,44,14,11,16,36,True,False,False,12.0,
1140,48,109,43,12,16,15,35,True,False,True,11.0,6.0
578,40,109,28,13,7,4,30,False,False,True,12.0,11.0
942,40,85,36,12,7,10,38,True,False,True,,
1058,40,85,50,12,17,8,38,True,False,False,12.0,
750,40,106,32,14,9,9,29,True,False,True,11.0,10.0
1000,60,101,30,12,11,6,30,True,False,True,10.0,10.0
951,60,116,40,12,9,7,30,True,False,True,12.0,9.0
635,47,91,24,12,13,2,31,True,False,True,7.0,7.0
1250,40,91,28,12,13,1,34,True,False,True,11.0,5.0
675,40,110,34,12,6,15,34,True,False,True,7.0,
400,40,75,33,12,11,6,32,True,False,True,7.0,12.0
577,50,94,17,12,9,8,29,True,False,True,12.0,8.0
590,40,109,27,13,10,7,29,True,False,False,12.0,12.0
923,50,122,38,16,10,10,31,True,False,False,8.0,8.0
1250,50,102,26,12,6,2,32,False,False,True,11.0,8.0
1100,40,122,38,14,11,8,33,True,False,True,8.0,10.0
1130,50,105,38,12,18,2,37,True,False,True,10.0,10.0
652,50,113,37,12,14,4,36,False,False,True,9.0,9.0
618,42,104,34,12,6,2,30,True,False,True,8.0,12.0
962,50,124,43,16,7,14,34,True,False,True,9.0,11.0
529,40,110,31,13,14,11,32,True,False,False,12.0,8.0
817,40,95,37,12,16,14,33,True,False,False,12.0,12.0
962,40,120,39,16,8,9,32,True,False,False,18.0,
840,40,105,39,12,19,15,38,True,False,False,12.0,8.0
866,40,121,30,16,7,4,28,True,False,False,12.0,12.0
2404,50,96,42,14,1,1,36,True,False,True,8.0,10.0
1126,40,110,26,12,16,2,32,True,False,True,9.0,12.0
1160,40,92,32,12,8,8,31,True,False,False,12.0,11.0
723,40,98,34,12,15,5,38,True,False,True,9.0,
1778,40,109,43,16,14,13,36,True,False,True,11.0,12.0
1903,48,118,44,18,13,5,36,True,False,False,11.0,11.0
1010,40,97,42,18,7,14,34,True,False,True,14.0,
971,40,95,42,17,5,11,37,True,False,True,16.0,8.0
525,40,99,40,12,9,2,34,True,False,True,10.0,8.0
525,40,106,31,12,12,13,30,True,False,False,10.0,12.0
670,45,117,33,12,10,3,30,True,False,False,12.0,
500,45,90,47,12,19,4,37,True,False,False,12.0,6.0
1058,45,98,45,14,14,15,34,True,False,False,,
550,46,95,44,12,18,15,35,True,False,True,12.0,11.0
500,45,115,43,12,14,1,32,True,False,True,12.0,11.0
727,55,106,40,15,10,5,31,False,False,True,12.0,12.0
865,40,114,26,12,6,8,30,True,False,False,8.0,8.0
1081,40,92,34,13,8,2,30,True,False,True,12.0,10.0
1304,45,119,36,17,9,9,31,True,False,False,13.0,12.0
575,40,85,32,13,6,1,30,True,False,False,13.0,12.0
623,45,98,34,16,7,1,30,True,False,False,12.0,12.0
515,45,114,30,13,8,10,28,True,False,False,12.0,12.0
1273,55,84,42,18,14,4,37,True,False,True,8.0,12.0
990,40,108,42,13,13,9,33,True,False,False,16.0,16.0
600,40,107,32,12,16,6,33,True,False,False,8.0,4.0
1160,40,84,35,12,17,2,38,True,False,False,16.0,12.0
500,55,86,22,12,11,9,29,True,False,False,10.0,12.0
795,45,88,27,12,17,18,35,True,False,False,10.0,12.0
500,50,97,34,11,20,3,37,True,False,False,,
740,50,84,31,10,23,13,38,True,False,False,,9.0
1250,40,117,45,16,10,7,33,True,False,True,12.0,14.0
1014,55,110,42,16,13,9,30,False,False,True,12.0,14.0
1250,32,104,32,13,13,3,33,True,False,True,9.0,
913,40,110,26,14,4,13,29,True,False,True,9.0,
1346,40,99,33,16,9,8,30,True,False,True,11.0,12.0
445,40,80,31,10,19,0,38,True,False,False,,
265,40,101,43,12,18,2,37,True,False,True,,
1250,40,117,31,14,7,1,28,True,False,True,12.0,12.0
1607,56,108,41,13,7,9,36,True,False,True,,
1452,35,69,33,16,12,15,38,True,True,True,10.0,10.0
1391,50,109,38,12,14,8,32,True,True,True,11.0,9.0
821,45,85,39,16,8,2,32,True,False,True,8.0,8.0
794,40,114,36,16,9,7,29,True,False,True,11.0,9.0
500,30,90,46,13,10,1,38,True,False,False,,
520,50,107,30,18,6,3,29,True,False,False,12.0,14.0
1730,50,117,41,18,12,12,37,True,False,True,12.0,8.0
1924,50,112,47,18,9,10,38,True,False,True,16.0,18.0
1155,60,106,46,18,10,2,37,True,False,True,14.0,18.0
2162,40,116,38,15,9,4,31,True,False,True,12.0,17.0
923,50,123,44,14,8,7,31,True,False,True,8.0,
1115,40,118,40,16,12,13,33,True,False,True,8.0,
449,36,91,20,12,7,2,30,False,False,True,,
1500,40,103,29,12,10,11,34,True,False,True,12.0,7.0
826,40,114,40,14,20,3,37,True,False,True,8.0,6.0
937,40,102,36,12,16,8,35,True,False,True,12.0,6.0
978,48,104,36,12,19,15,36,True,False,True,6.0,
1031,40,112,43,14,14,12,33,False,False,True,14.0,12.0
1272,40,107,39,12,10,1,30,True,False,True,12.0,12.0
1136,50,117,36,14,16,12,34,True,False,True,12.0,12.0
800,45,110,36,12,19,12,36,True,False,True,,
1339,38,96,42,12,8,9,33,True,False,True,12.0,11.0
1063,40,90,38,12,14,12,32,True,True,True,8.0,12.0
935,44,97,27,12,10,6,29,True,False,True,8.0,7.0
808,40,99,40,12,18,13,38,True,True,True,9.0,8.0
375,40,99,29,10,12,2,30,True,False,False,8.0,5.0
537,40,97,32,12,14,8,31,False,True,True,11.0,
1082,55,95,40,12,11,4,29,True,True,True,11.0,
930,40,126,44,14,10,1,31,False,False,True,8.0,
1155,40,109,49,17,13,4,38,True,False,False,12.0,8.0
548,40,86,22,11,7,0,33,True,True,True,11.0,
622,45,119,48,16,12,1,33,True,False,True,12.0,12.0
841,40,102,38,16,10,1,29,True,False,True,12.0,12.0
769,55,105,45,18,7,15,38,False,False,True,9.0,5.0
587,38,117,40,17,8,5,29,True,False,False,12.0,
1924,45,112,40,16,17,18,38,True,False,True,12.0,12.0
1058,40,89,28,12,7,3,29,True,False,True,8.0,6.0
417,48,131,39,12,7,1,28,False,False,True,12.0,6.0
1202,48,114,28,16,6,6,28,True,False,True,16.0,16.0
1154,40,98,35,14,18,2,37,True,False,True,10.0,14.0
1070,40,124,41,13,4,9,32,True,False,True,,
1202,40,125,30,14,10,11,29,True,False,True,12.0,12.0
711,45,100,38,18,13,3,36,True,False,True,10.0,16.0
1202,40,84,21,14,6,5,31,True,True,True,11.0,9.0
850,43,113,26,12,7,3,28,True,False,True,8.0,12.0
1000,40,102,46,16,13,11,35,True,False,True,10.0,12.0
490,49,82,33,18,7,8,31,False,False,True,12.0,9.0
1000,40,112,47,14,15,4,35,True,False,True,12.0,10.0
865,40,111,38,16,11,4,31,True,False,True,8.0,5.0
1375,40,96,24,13,3,3,30,True,False,True,11.0,8.0
1586,40,127,48,16,16,12,37,True,False,True,16.0,16.0
1602,65,97,47,15,14,14,37,True,False,True,8.0,
3078,65,120,50,14,12,13,36,True,False,True,12.0,
898,40,101,41,16,7,9,35,False,False,True,16.0,14.0
906,40,120,40,14,16,2,37,True,False,True,12.0,12.0
952,40,99,34,13,10,10,31,True,True,True,8.0,10.0
571,40,78,33,13,10,1,29,False,True,True,8.0,9.0
